Id,DayOfExperiment,ExperimentDates,StartMeasureTime,EndMeasureTime,MeasureInSeconds,2MinutesMeanEDA,ValidMeanEDA,AverageHeartRate,StartHeartRate,EndHeartRate
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,25.00533308982849,29.190663032531734,,93.0,96.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.579408164646317,29.20953926988827,,91.0,104.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,25.3197350025177,29.555253009796143,,91.0,94.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.88609069188436,29.049942690916737,,88.0,85.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,25.06432361602783,29.261378669738768,,84.0,91.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.97614620526632,29.170004815766305,,81.0,82.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,23.78688928222656,28.91996995198358,,96.0,92.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,25.0855819384257,29.292654156684875,,76.0,63.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.16135425567627,28.163105469715745,,103.0,82.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.573528242111205,28.72503305518109,,96.0,86.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,23.994417174657187,28.00793493636931,,80.0,74.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.03433952331543,28.060347123579547,,88.0,88.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.44198169708252,28.87340762767386,,86.0,94.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.67348246574402,28.816409051418304,,74.0,83.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,25.011124038696288,29.232152726915142,,103.0,69.0
sub_080,8.0,2022-10-05,2022-10-06 01:04:55,2022-10-06 01:06:57,120000.0,24.824988428751627,29.056782457017405,,72.0,76.0
